,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
183,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.35,"[0.6144, 0.6844]","[None, None]",2003
184,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,22.76,"[0.5164, 0.7022, 0.6746, 0.7056, 0.7105]","[None, None, None, None, None]",2004
185,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.61,"[0.6715, 0.68]","[None, None]",2005
186,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.53,"[0.5842, 0.7158]","[None, None]",2006
187,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.14,"[0.4532, 0.6961, 0.6841]","[None, None, None]",2007
188,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.41,"[0.6098, 0.6334]","[None, None]",2008
189,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.8,"[0.6476, 0.7246, 0.6869]","[None, None, None]",2009
190,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.51,"[0.5314, 0.676, 0.6834, 0.707]","[None, None, None, None]",2010
191,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,22.44,"[0.6536, 0.6719, 0.649, 0.6934, 0.7224]","[None, None, None, None, None]",2011
192,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.34,"[0.6314, 0.605]","[None, None]",2012
193,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.34,"[0.5561, 0.6129]","[None, None]",2013
194,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.8,"[0.586, 0.6997, 0.7221, 0.7025]","[None, None, None, None]",2014
195,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.89,"[0.6037, 0.6628, 0.6521]","[None, None, None]",2015
196,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.6,"[0.5852, 0.7095, 0.7062, 0.7056]","[None, None, None, None]",2016
197,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.52,"[0.5558, 0.6966]","[None, None]",2017
198,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.08,"[0.6077, 0.6247, 0.6715]","[None, None, None]",2018
199,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.44,"[0.6042, 0.7031]","[None, None]",2019
200,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.9,"[0.5846, 0.6086, 0.6236]","[None, None, None]",2000
201,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,1,64,0,4.06,[0.5354],[None],2001
202,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.41,"[0.633, 0.6208]","[None, None]",2002
