epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.01,0.1,0.1,0.01,0.01,200.0,1.7586,1.6754,-0.0265,-0.1591,5.855,6.0
1000,5e-05,0.01,0.1,0.1,0.01,0.1,199.0,1.9745,1.9397,-0.3183,-0.7273,6.9497,7.0
1000,5e-05,0.01,0.1,0.1,0.01,0.2,133.0,1.6443,1.6364,-0.3908,-0.7909,7.1729,7.0
1000,5e-05,0.01,0.1,0.1,0.1,0.0,200.0,1.6285,1.5119,-0.063,-0.5,5.92,6.0
1000,5e-05,0.01,0.1,0.1,0.1,0.01,200.0,1.7509,1.5649,-0.0558,-0.4864,5.775,6.0
1000,5e-05,0.01,0.1,0.1,0.1,0.1,126.0,1.7297,1.2992,-0.3115,-0.8091,6.7302,6.0
1000,5e-05,0.01,0.1,0.1,0.1,0.2,130.0,1.4152,1.1783,-0.361,-0.8,6.8385,7.0
1000,5e-05,0.01,0.1,0.5,0.0,0.0,200.0,1.649,1.4739,-0.087,-0.5,5.865,6.0
1000,5e-05,0.01,0.1,0.5,0.0,0.01,200.0,1.7323,1.3734,-0.023,-0.2636,5.9,6.0
1000,5e-05,0.01,0.1,0.5,0.0,0.1,200.0,1.9501,1.8726,-0.3022,-0.8182,7.26,7.0
1000,5e-05,0.01,0.1,0.5,0.0,0.2,102.0,2.1029,2.1485,-0.566,-0.9182,7.7451,8.0
1000,5e-05,0.01,0.1,0.5,0.01,0.0,200.0,1.6627,1.4702,-0.0765,-0.4864,5.835,6.0
1000,5e-05,0.01,0.1,0.5,0.01,0.01,200.0,1.7028,1.4137,-0.0789,-0.4091,5.835,6.0
1000,5e-05,0.01,0.1,0.5,0.01,0.1,200.0,1.9191,1.897,-0.2295,-0.7045,7.25,7.0
1000,5e-05,0.01,0.1,0.5,0.01,0.2,125.0,1.8299,1.7657,-0.3039,-0.7909,7.536,8.0
1000,5e-05,0.01,0.1,0.5,0.1,0.0,200.0,1.6462,1.3433,-0.0746,-0.4318,5.77,6.0
1000,5e-05,0.01,0.1,0.5,0.1,0.01,200.0,1.7262,1.4414,-0.0625,-0.4,5.97,6.0
1000,5e-05,0.01,0.1,0.5,0.1,0.1,200.0,1.8471,1.8798,-0.4035,-0.8182,7.005,7.0
1000,5e-05,0.01,0.1,0.5,0.1,0.2,78.0,1.6376,1.5889,-0.6491,-0.9318,7.4744,8.0
