epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median,mono_viol_mean,mono_viol_median
1000,5e-05,0.0,0.5,1.0,0.1,0.1,200.0,4.5403,4.5042,-0.9885,-0.9909,10.185,10.0,0.435,0.0
1000,5e-05,0.0,0.5,1.0,0.1,0.2,200.0,4.5572,4.5464,-0.9938,-1.0,10.65,11.0,0.37,0.0
1000,5e-05,0.01,0.01,0.0,0.0,0.0,200.0,4.1644,4.078,-0.8399,-0.8727,6.0,6.0,0.9,1.0
1000,5e-05,0.01,0.01,0.0,0.0,0.01,200.0,4.3435,4.2841,-0.8933,-0.9091,6.5,6.0,0.64,0.0
1000,5e-05,0.01,0.01,0.0,0.0,0.1,200.0,4.4184,4.351,-0.9555,-0.9773,8.335,9.0,0.38,0.0
1000,5e-05,0.01,0.01,0.0,0.0,0.2,200.0,4.4906,4.4067,-0.9704,-0.9818,8.775,9.0,0.295,0.0
1000,5e-05,0.01,0.01,0.0,0.01,0.0,200.0,4.1874,4.0869,-0.8403,-0.8727,6.025,6.0,0.935,1.0
1000,5e-05,0.01,0.01,0.0,0.01,0.01,200.0,4.3541,4.2494,-0.8876,-0.9091,6.455,6.0,0.67,0.0
1000,5e-05,0.01,0.01,0.0,0.01,0.1,200.0,4.2735,4.2424,-0.9608,-0.9727,8.325,9.0,0.38,0.0
1000,5e-05,0.01,0.01,0.0,0.01,0.2,200.0,4.4808,4.4097,-0.9702,-0.9818,8.8,9.0,0.275,0.0
1000,5e-05,0.01,0.01,0.0,0.1,0.0,200.0,4.2952,4.1795,-0.85,-0.8727,6.115,6.0,0.93,1.0
1000,5e-05,0.01,0.01,0.0,0.1,0.01,200.0,4.3269,4.2855,-0.8914,-0.9091,6.535,6.0,0.625,0.0
1000,5e-05,0.01,0.01,0.0,0.1,0.1,200.0,4.4291,4.3467,-0.9629,-0.9773,8.585,9.0,0.375,0.0
1000,5e-05,0.01,0.01,0.0,0.1,0.2,200.0,4.5047,4.4238,-0.9706,-0.9818,8.855,9.0,0.255,0.0
1000,5e-05,0.01,0.01,0.1,0.0,0.0,200.0,4.2501,4.1805,-0.8655,-0.9,6.24,6.0,0.74,1.0
1000,5e-05,0.01,0.01,0.1,0.0,0.01,200.0,4.3534,4.3641,-0.9079,-0.9273,6.91,7.0,0.62,0.0
1000,5e-05,0.01,0.01,0.1,0.0,0.1,200.0,4.4241,4.4027,-0.9675,-0.9818,8.73,9.0,0.245,0.0
1000,5e-05,0.01,0.01,0.1,0.0,0.2,200.0,4.4711,4.4044,-0.9722,-0.9818,9.07,9.0,0.275,0.0
1000,5e-05,0.01,0.01,0.1,0.01,0.0,200.0,4.2167,4.1853,-0.8735,-0.9,6.255,6.0,0.875,1.0
1000,5e-05,0.01,0.01,0.1,0.01,0.01,200.0,4.2616,4.2583,-0.9028,-0.9182,6.9,7.0,0.595,0.0
1000,5e-05,0.01,0.01,0.1,0.01,0.1,200.0,4.4427,4.4113,-0.9684,-0.9818,8.62,9.0,0.325,0.0
1000,5e-05,0.01,0.01,0.1,0.01,0.2,200.0,4.4776,4.4052,-0.9718,-0.9818,9.0,9.0,0.285,0.0
1000,5e-05,0.01,0.01,0.1,0.1,0.0,200.0,4.3195,4.2545,-0.8736,-0.9,6.235,6.0,0.69,0.5
1000,5e-05,0.01,0.01,0.1,0.1,0.01,200.0,4.4049,4.4111,-0.9008,-0.9182,6.81,7.0,0.685,0.0
1000,5e-05,0.01,0.01,0.1,0.1,0.1,200.0,4.3989,4.4025,-0.968,-0.9818,8.625,9.0,0.25,0.0
1000,5e-05,0.01,0.01,0.1,0.1,0.2,200.0,4.4668,4.4011,-0.9715,-0.9818,9.095,9.0,0.26,0.0
1000,5e-05,0.01,0.01,0.5,0.0,0.0,200.0,4.3275,4.243,-0.9011,-0.9273,6.915,7.0,0.65,0.0
1000,5e-05,0.01,0.01,0.5,0.0,0.01,200.0,4.4454,4.352,-0.9179,-0.9455,7.25,7.0,0.61,0.0
1000,5e-05,0.01,0.01,0.5,0.0,0.1,200.0,4.4678,4.4075,-0.9737,-0.9818,8.76,9.0,0.215,0.0
1000,5e-05,0.01,0.01,0.5,0.0,0.2,200.0,4.4557,4.3996,-0.9802,-0.9909,9.195,9.0,0.21,0.0
1000,5e-05,0.01,0.01,0.5,0.01,0.0,200.0,4.3312,4.2506,-0.8994,-0.9182,6.785,7.0,0.62,0.0
1000,5e-05,0.01,0.01,0.5,0.01,0.01,200.0,4.4431,4.3431,-0.9235,-0.9455,7.375,7.0,0.56,0.0
1000,5e-05,0.01,0.01,0.5,0.01,0.1,200.0,4.4129,4.379,-0.9727,-0.9818,8.775,9.0,0.215,0.0
1000,5e-05,0.01,0.01,0.5,0.01,0.2,200.0,4.4452,4.4226,-0.9808,-0.9909,9.16,9.0,0.205,0.0
1000,5e-05,0.01,0.01,0.5,0.1,0.0,200.0,4.3322,4.2864,-0.9007,-0.9273,6.86,7.0,0.715,0.0
