epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,val_recon_r2,val_reg_r2
1000,5e-05,0.01,0.01,0.1,0.1,0.1,0.9641429055817656,0.91822320713
1000,5e-05,0.01,0.01,0.1,0.1,0.2,0.9571955337766819,0.9113764639100491
1000,5e-05,0.01,0.01,0.5,0.0,0.0,0.9626978314718317,0.9179532524676368
1000,5e-05,0.01,0.01,0.5,0.0,0.01,0.9612355381625333,0.9199018186237147
1000,5e-05,0.01,0.01,0.5,0.0,0.1,0.9583508901016957,0.922212872578118
1000,5e-05,0.01,0.01,0.5,0.0,0.2,0.9549699560064931,0.918738397084646
1000,5e-05,0.01,0.01,0.5,0.01,0.0,0.9617847734060774,0.9181645794122344
1000,5e-05,0.01,0.01,0.5,0.01,0.01,0.9608337420112826,0.9180505322035952
1000,5e-05,0.01,0.01,0.5,0.01,0.1,0.9594828072007118,0.9224486183867718
1000,5e-05,0.01,0.01,0.5,0.01,0.2,0.9555083407671296,0.9192723187528954
1000,5e-05,0.01,0.01,0.5,0.1,0.0,0.962334442361727,0.9198082319828238
1000,5e-05,0.01,0.01,0.5,0.1,0.01,0.9609525414876315,0.921337092127327
1000,5e-05,0.01,0.01,0.5,0.1,0.1,0.9594308664671486,0.9217107802647875
1000,5e-05,0.01,0.01,0.5,0.1,0.2,0.9556054787431909,0.9195547517798794
1000,5e-05,0.01,0.01,1.0,0.0,0.0,0.9605238597175956,0.9174835636801761
1000,5e-05,0.01,0.01,1.0,0.0,0.01,0.9594234199129228,0.9159180217878432
1000,5e-05,0.01,0.01,1.0,0.0,0.1,0.9502560753874271,0.9160972329433085
1000,5e-05,0.01,0.01,1.0,0.0,0.2,0.94639279136486,0.9174612542816708
1000,5e-05,0.01,0.01,1.0,0.01,0.0,0.9601197672582354,0.9187865351797829
1000,5e-05,0.01,0.01,1.0,0.01,0.01,0.9596537151705612,0.9168536805035419
1000,5e-05,0.01,0.01,1.0,0.01,0.1,0.949855336326282,0.9172548573412533
1000,5e-05,0.01,0.01,1.0,0.01,0.2,0.9467354028617717,0.9174151353761255
1000,5e-05,0.01,0.01,1.0,0.1,0.0,0.9595066697683302,0.9181020195693059
1000,5e-05,0.01,0.01,1.0,0.1,0.01,0.960048078922128,0.916294212693328
1000,5e-05,0.01,0.01,1.0,0.1,0.1,0.9494539737483736,0.9176476861723802
1000,5e-05,0.01,0.01,1.0,0.1,0.2,0.945912590888399,0.917888784114082
1000,5e-05,0.01,0.1,0.0,0.0,0.0,0.9519968394582086,0.9049684859871787
1000,5e-05,0.01,0.1,0.0,0.0,0.01,0.9525186245254673,0.9051990331871862
1000,5e-05,0.01,0.1,0.0,0.0,0.1,0.9513457773917995,0.9070978184368481
1000,5e-05,0.01,0.1,0.0,0.0,0.2,0.9467672902906203,0.9088898310957687
1000,5e-05,0.01,0.1,0.0,0.01,0.0,0.9538873402152241,0.9057862790093965
1000,5e-05,0.01,0.1,0.0,0.01,0.01,0.9538351523812512,0.9047289189653404
1000,5e-05,0.01,0.1,0.0,0.01,0.1,0.9517413809338133,0.9076924546441366
1000,5e-05,0.01,0.1,0.0,0.01,0.2,0.9462048538898445,0.9110050428780012
1000,5e-05,0.01,0.1,0.0,0.1,0.0,0.9533567358007045,0.9040794021768138
1000,5e-05,0.01,0.1,0.0,0.1,0.01,0.9528614762667231,0.9045638150385433
1000,5e-05,0.01,0.1,0.0,0.1,0.1,0.9499748523201499,0.9076913596879979
1000,5e-05,0.01,0.1,0.0,0.1,0.2,0.9474095379748022,0.90979242303016
1000,5e-05,0.01,0.1,0.1,0.0,0.0,0.953261453641282,0.903837488311824
1000,5e-05,0.01,0.1,0.1,0.0,0.01,0.9513799634061307,0.9057787020331443
1000,5e-05,0.01,0.1,0.1,0.0,0.1,0.9504887928375032,0.9099438864523933
