,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed,lambda_pair,lambda_infonce,tau,tau_c,beta,gamma,noise_std,margin_scale,lambda_reg,feature_predictor_lr,epochs
9413,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,5,14.65,240,0.0,"[0.4636, 0.5892, 0.5987, 0.5991, 0.5402]","[None, None, None, None, None]",2019,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9414,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,1,2.65,48,1.0,[0.3918],[None],2000,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9415,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,6,18.06,288,1.0,"[0.5397, 0.5522, 0.5197, 0.4521, 0.4376, 0.4517]","[None, None, None, None, None, None]",2001,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9416,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,3,8.43,144,0.0,"[0.4619, 0.6185, 0.5221]","[None, None, None]",2002,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9417,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,2,5.55,96,1.0,"[0.5016, 0.4564]","[None, None]",2003,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9418,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,1,2.7,48,0.0,[0.5369],[None],2004,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9419,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,3,8.26,144,0.0,"[0.5401, 0.5531, 0.6006]","[None, None, None]",2005,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9420,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,1,2.6,48,0.0,[0.6282],[None],2006,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9421,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,2,5.45,96,0.0,"[0.5981, 0.5476]","[None, None]",2007,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9422,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,3,8.34,144,0.0,"[0.5971, 0.5085, 0.6062]","[None, None, None]",2008,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9423,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,3,8.38,144,0.0,"[0.5309, 0.41, 0.3976]","[None, None, None]",2009,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9424,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,2,5.51,96,1.0,"[0.5232, 0.523]","[None, None]",2010,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9425,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,2,5.61,96,1.0,"[0.4393, 0.3463]","[None, None]",2011,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9426,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,2,5.41,96,0.0,"[0.4986, 0.5028]","[None, None]",2012,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9427,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,2,5.47,96,0.0,"[0.5159, 0.5368]","[None, None]",2013,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9428,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,1,2.6,48,0.0,[0.4618],[None],2014,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9429,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,2,5.39,96,0.0,"[0.5963, 0.5615]","[None, None]",2015,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9430,48,False,True,1e-05,0.0001,100,"(0.3, 0.3, 0.4)",0,2,0,1,2.7,48,0.0,[0.3873],[None],2016,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
