,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,rank_warmup_epochs,top-1,T_mc
4000,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.71,96,"[0.4949, 0.4661]","[None, None]",2010,200,1.0,20.0
4001,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.8,96,"[0.4212, 0.2068]","[None, None]",2011,200,1.0,20.0
4002,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.27,48,[0.4976],[None],2012,200,0.0,20.0
4003,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.5198, 0.4986]","[None, None]",2013,200,0.0,20.0
4004,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.5019],[None],2014,200,0.0,20.0
4005,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.6343, 0.3729]","[None, None]",2015,200,0.0,20.0
4006,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.3962, 0.5278]","[None, None]",2016,200,1.0,20.0
4007,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.6184, 0.618]","[None, None]",2017,200,0.0,20.0
4008,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.5493, 0.4386]","[None, None]",2018,200,0.0,20.0
4009,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.27,48,[0.5488],[None],2019,200,0.0,20.0
4010,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.3676],[None],2000,0,1.0,20.0
4011,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,32,280.95,1536,"[0.6001, 0.2825, 0.1234, 0.0152, -0.173, -0.204, -0.2427, -0.3662, -0.3534, -0.4972, -0.3335, -0.4392, -0.4099, -0.5074, -0.6732, -0.8153, -0.7046, -0.7894, -0.8201, -0.8171, -0.8268, -0.8251, -0.7292, -0.864, -0.8174, -0.786, -0.8045, -0.8455, -0.8176, -0.8564, -0.0498, 0.6099]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",2001,0,1.0,20.0
4012,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.47,96,"[0.4244, 0.3158]","[None, None]",2002,0,1.0,20.0
4013,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.48,96,"[0.4469, 0.2107]","[None, None]",2003,0,1.0,20.0
4014,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.15,48,[0.5627],[None],2004,0,0.0,20.0
4015,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.48,96,"[0.6012, 0.3849]","[None, None]",2005,0,1.0,20.0
4016,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.15,48,[0.5349],[None],2006,0,0.0,20.0
4017,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.58,96,"[0.601, 0.3866]","[None, None]",2007,0,0.0,20.0
4018,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.48,96,"[0.5098, 0.3168]","[None, None]",2008,0,1.0,20.0
4019,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.15,48,[0.5495],[None],2009,0,0.0,20.0
4020,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.46,96,"[0.5678, 0.3145]","[None, None]",2010,0,1.0,20.0
4021,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.46,96,"[0.4382, 0.1291]","[None, None]",2011,0,0.0,20.0
4022,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.15,48,[0.5027],[None],2012,0,0.0,20.0
4023,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.15,48,[0.5226],[None],2013,0,0.0,20.0
4024,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.21,48,[0.4894],[None],2014,0,0.0,20.0
4025,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.51,96,"[0.5505, 0.2879]","[None, None]",2015,0,0.0,20.0
4026,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.47,96,"[0.5116, 0.3085]","[None, None]",2016,0,1.0,20.0
4027,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,3,9.99,144,"[0.6353, 0.2672, 0.2838]","[None, None, None]",2017,0,0.0,20.0
4028,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.48,96,"[0.3976, 0.1697]","[None, None]",2018,0,0.0,20.0
4029,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.47,96,"[0.5947, 0.3321]","[None, None]",2019,0,1.0,20.0
4030,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.15,48,[0.3974],[None],2000,100,1.0,20.0
4031,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,29,233.75,1392,"[0.6304, 0.434, 0.2645, 0.145, 0.0447, -0.0008, -0.0855, -0.2885, -0.4061, -0.5019, -0.164, -0.2103, -0.1678, -0.3412, -0.4949, -0.5813, -0.5451, -0.6107, -0.6147, -0.6934, -0.7071, -0.5019, -0.467, -0.5727, -0.5712, -0.6129, -0.5834, -0.5293, 0.1294]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",2001,100,0.0,20.0
4032,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.48,96,"[0.4923, 0.3891]","[None, None]",2002,100,0.0,20.0
4033,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.47,96,"[0.5002, 0.2192]","[None, None]",2003,100,1.0,20.0
4034,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.16,48,[0.5915],[None],2004,100,0.0,20.0
4035,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.48,96,"[0.6048, 0.4279]","[None, None]",2005,100,1.0,20.0
4036,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.15,48,[0.5942],[None],2006,100,0.0,20.0
4037,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.16,48,[0.6268],[None],2007,100,0.0,20.0
4038,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.16,48,[0.5661],[None],2008,100,0.0,20.0
4039,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.16,48,[0.571],[None],2009,100,0.0,20.0
4040,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.66,96,"[0.5984, 0.426]","[None, None]",2010,100,1.0,20.0
4041,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.4572, 0.2524]","[None, None]",2011,100,1.0,20.0
4042,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.27,48,[0.5661],[None],2012,100,0.0,20.0
4043,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.71,96,"[0.5686, 0.4381]","[None, None]",2013,100,1.0,20.0
4044,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.27,48,[0.5374],[None],2014,100,0.0,20.0
4045,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.71,96,"[0.6082, 0.3918]","[None, None]",2015,100,0.0,20.0
4046,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.507, 0.3472]","[None, None]",2016,100,1.0,20.0
4047,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,3,10.29,144,"[0.6696, 0.377, 0.3862]","[None, None, None]",2017,100,1.0,20.0
4048,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.71,96,"[0.4866, 0.3109]","[None, None]",2018,100,0.0,20.0
4049,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.79,96,"[0.6014, 0.3811]","[None, None]",2019,100,1.0,20.0
4050,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.4102],[None],2000,200,1.0,20.0
4051,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,26,198.69,1248,"[0.6453, 0.4647, 0.2899, 0.1904, 0.0053, -0.1211, -0.2567, -0.4043, -0.4386, -0.4559, -0.2306, -0.0611, -0.0572, -0.1592, -0.2248, -0.3507, -0.3615, -0.3484, -0.3171, -0.4103, -0.4519, -0.2929, -0.2548, -0.2935, 0.2065, 0.5556]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",2001,200,1.0,20.0
4052,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.71,96,"[0.5222, 0.4245]","[None, None]",2002,200,1.0,20.0
4053,48,False,False,1e-05,1e-05,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.5302, 0.3492]","[None, None]",2003,200,1.0,20.0
